"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
0.00000,-5616.001029,7639.546210,269.710971,-2.875521,-6.157263,-10.244160
1.00000,-5774.018134,7258.479096,-344.975660,-2.390492,-6.539586,-10.239092
2.00000,-5902.724437,6855.424817,-958.210583,-1.898899,-6.890011,-10.195769
3.00000,-6001.798927,6432.328730,-1567.702419,-1.403179,-7.207516,-10.114373
4.00000,-6071.067909,5991.192646,-2171.177040,-0.905776,-7.491239,-9.995236
5.00000,-6110.503094,5534.065536,-2766.382621,-0.409124,-7.740475,-9.838840
6.00000,-6120.222905,5063.033313,-3351.102913,0.084360,-7.954684,-9.645812
7.00000,-6100.488854,4580.209884,-3923.161474,0.572291,-8.133488,-9.416923
8.00000,-6051.704964,4087.726704,-4480.433624,1.052324,-8.276670,-9.153084
9.00000,-5974.414169,3587.723389,-5020.853173,1.522170,-8.384175,-8.855345
10.00000,-5869.294736,3082.338150,-5542.420512,1.979602,-8.456110,-8.524884
11.00000,-5737.156810,2573.697462,-6043.211795,2.422472,-8.492738,-8.163009
12.00000,-5578.936006,2063.908460,-6521.383341,2.848713,-8.494477,-7.771149
13.00000,-5395.690009,1555.047369,-6975.182634,3.256358,-8.461897,-7.350846
14.00000,-5188.590609,1049.153137,-7402.951329,3.643541,-8.395712,-6.903752
15.00000,-4958.918838,548.216399,-7803.134689,4.008512,-8.296780,-6.431621
16.00000,-4708.056504,54.173400,-8174.284926,4.349643,-8.166090,-5.936301
17.00000,-4437.479712,-431.103658,-8515.068459,4.665433,-8.004762,-5.419725
18.00000,-4148.750336,-905.813156,-8824.269885,4.954519,-7.814038,-4.883904
19.00000,-3843.507807,-1368.231347,-9100.796682,5.215681,-7.595272,-4.330923
20.00000,-3523.460405,-1816.718934,-9343.683153,5.447845,-7.349924,-3.762924
21.00000,-3190.376268,-2249.727151,-9552.093854,5.650090,-7.079550,-3.182103
22.00000,-2846.074125,-2665.803322,-9725.326490,5.821652,-6.785797,-2.590702
23.00000,-2492.413830,-3063.595865,-9862.814282,5.961925,-6.470386,-1.990994
24.00000,-2131.286633,-3441.858298,-9964.127661,6.070466,-6.135113,-1.385282
