"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
0.00000,-26301.721941,-2025.542484,-22071.441353,-1.067647,-10.069232,-2.434488
1.00000,-26349.156442,-2629.309779,-22216.720585,-0.513691,-10.050918,-2.405294
2.00000,-26363.416533,-3230.993429,-22359.718827,0.037741,-9.999802,-2.358459
3.00000,-26344.730848,-3828.631935,-22499.380911,0.584081,-9.916120,-2.294111
4.00000,-26293.481254,-4420.281973,-22634.662254,1.122784,-9.800263,-2.212464
5.00000,-26210.201481,-5004.029063,-22764.533316,1.651342,-9.652778,-2.113817
6.00000,-26095.574038,-5577.995320,-22887.985202,2.167296,-9.474362,-1.998548
7.00000,-25950.427409,-6140.349948,-23004.033889,2.668251,-9.265862,-1.867119
8.00000,-25775.731555,-6689.316410,-23111.725668,3.151881,-9.028267,-1.720067
9.00000,-25572.593714,-7223.182613,-23210.141054,3.615944,-8.762705,-1.558007
10.00000,-25342.252573,-7740.307346,-23298.399963,4.058294,-8.470441,-1.381625
11.00000,-25086.072768,-8239.129916,-23375.665224,4.476890,-8.152864,-1.191677
12.00000,-24805.537806,-8718.175879,-23441.147407,4.869804,-7.811487,-0.988985
13.00000,-24502.243407,-9176.065782,-23494.107850,5.235233,-7.447934,-0.774433
14.00000,-24177.889313,-9611.520030,-23533.863060,5.571507,-7.063937,-0.548962
15.00000,-23834.271568,-10023.366761,-23559.787193,5.877095,-6.661325,-0.313564
16.00000,-23473.273377,-10410.545699,-23571.315936,6.150615,-6.242015,-0.069284
17.00000,-23096.856496,-10772.114921,-23567.948398,6.390840,-5.808006,0.182795
18.00000,-22707.051327,-11107.253595,-23549.250407,6.596704,-5.361364,0.441548
19.00000,-22305.947536,-11415.267684,-23514.855759,6.767306,-4.904216,0.705819
20.00000,-21895.683585,-11695.591450,-23464.468876,6.901914,-4.438740,0.974427
21.00000,-21478.436812,-11947.791848,-23397.865386,6.999970,-3.967151,1.246167
22.00000,-21056.412556,-12171.568874,-23314.894096,7.061094,-3.491694,1.519818
23.00000,-20631.833873,-12366.758649,-23215.476887,7.085083,-3.014633,1.794152
24.00000,-20206.930496,-12533.332504,-23099.609962,7.071912,-2.538236,2.067936
25.00000,-19783.928392,-12671.398646,-22967.363065,7.021736,-2.064768,2.339938
26.00000,-19365.038742,-12781.200077,-22818.879974,6.934888,-1.596481,2.608936
27.00000,-18952.447560,-12863.114806,-22654.377059,6.811879,-1.135598,2.873722
28.00000,-18548.304905,-12917.652812,-22474.142932,6.653393,-0.684309,3.133107
29.00000,-18154.714646,-12945.453912,-22278.536835,6.460285,-0.244753,3.385926
30.00000,-17773.724404,-12947.285413,-22067.986528,6.233578,0.180984,3.631049
31.00000,-17407.315464,-12924.037046,-21842.987010,5.974455,0.590888,3.867379
32.00000,-17057.393380,-12876.717262,-21604.097758,5.684258,0.983018,4.093863
33.00000,-16725.778795,-12806.448900,-21351.939808,5.364476,1.355523,4.309493
34.00000,-16414.198573,-12714.462609,-21087.193358,5.016742,1.706644,4.513316
35.00000,-16124.277543,-12602.091604,-20810.594148,4.642823,2.034727,4.704433
36.00000,-15857.530637,-12470.765050,-20522.930038,4.244614,2.338231,4.882005
37.00000,-15615.355610,-12322.001064,-20225.037244,3.824125,2.615734,5.045260
38.00000,-15399.026289,-12157.399386,-19917.796340,3.383474,2.865938,5.193492
39.00000,-15209.686435,-11978.633630,-19602.128049,2.924876,3.087679,5.326069
40.00000,-15048.344218,-11787.443184,-19278.988838,2.450634,3.279931,5.442433
41.00000,-14915.867373,-11585.624758,-18949.366346,1.963124,3.441810,5.542103
42.00000,-14812.979002,-11375.023712,-18614.274654,1.464789,3.572579,5.624678
43.00000,-14740.254110,-11157.525057,-18274.749436,0.958120,3.671653,5.689841
44.00000,-14698.116797,-10935.044627,-17931.842881,0.445653,3.738598,5.737355
45.00000,-14686.838216,-10709.518952,-17586.619138,-0.070052,3.773138,5.767069
46.00000,-14706.535304,-10482.897259,-17240.148378,-0.586418,3.775152,5.778918
47.00000,-14757.170167,-10257.130454,-16893.502664,-1.100863,3.744678,5.772921
48.00000,-14838.550288,-10034.163365,-16547.749762,-1.610817,3.681909,5.749182
49.00000,-14950.329438,-9815.923470,-16203.949213,-2.113729,3.587198,5.707893
50.00000,-15092.009346,-9604.313611,-15863.145939,-2.607084,3.461048,5.649326
51.00000,-15262.942101,-9401.200718,-15526.366595,-3.088412,3.304118,5.573838
52.00000,-15462.333247,-9208.408375,-15194.613623,-3.555301,3.117213,5.481866
53.00000,-15689.245642,-9027.707212,-14868.860937,-4.005408,2.901286,5.373927
54.00000,-15942.603956,-8860.806498,-14550.049170,-4.436471,2.657429,5.250613
55.00000,-16221.199836,-8709.345879,-14239.081182,-4.846320,2.386868,5.112589
56.00000,-16523.697739,-8574.887423,-13936.817745,-5.232887,2.090962,4.960592
57.00000,-16848.641370,-8458.908028,-13644.073431,-5.594216,1.771188,4.795426
58.00000,-17194.460668,-8362.792317,-13361.612728,-5.928472,1.429144,4.617955
59.00000,-17559.479399,-8287.825870,-13090.146392,-6.233952,1.066532,4.429104
60.00000,-17941.923223,-8235.188994,-12830.328059,-6.509089,0.685155,4.229852
61.00000,-18339.928212,-8205.951049,-12582.751135,-6.752464,0.286909,4.021227
62.00000,-18751.549867,-8201.065182,-12347.945972,-6.962811,-0.126231,3.804302
63.00000,-19174.772470,-8221.363717,-12126.377354,-7.139022,-0.552215,3.580188
64.00000,-19607.518801,-8267.553968,-11918.442407,-7.280155,-0.988932,3.350032
65.00000,-20047.660073,-8340.215520,-11724.468143,-7.385436,-1.434218,3.115010
66.00000,-20493.026350,-8439.795794,-11544.711190,-7.454262,-1.885865,2.876317
67.00000,-20941.416812,-8566.609899,-11379.354920,-7.486210,-2.341637,2.635169
68.00000,-21390.610503,-8720.837110,-11228.510280,-7.481031,-2.799276,2.392791
69.00000,-21838.376919,-8902.521700,-11092.213755,-7.438655,-3.256513,2.150415
70.00000,-22282.486878,-9111.571101,-10970.428627,-7.359195,-3.711082,1.909271
71.00000,-22720.723128,-9347.757616,-10863.044060,-7.242938,-4.160727,1.670582
72.00000,-23150.891084,-9610.718924,-10769.876136,-7.090351,-4.603219,1.435561
73.00000,-23570.829503,-9899.959204,-10690.669270,-6.902075,-5.036358,1.205400
74.00000,-23978.420701,-10214.852650,-10625.096507,-6.678924,-5.457991,0.981268
75.00000,-24371.600909,-10554.645630,-10572.761786,-6.421880,-5.866019,0.764305
76.00000,-24748.370161,-10918.460509,-10533.201724,-6.132087,-6.258409,0.555614
77.00000,-25106.801950,-11305.299801,-10505.887885,-5.810848,-6.633200,0.356259
78.00000,-25445.052490,-11714.050962,-10490.229371,-5.459617,-6.988518,0.167258
79.00000,-25761.369605,-12143.491709,-10485.575699,-5.079994,-7.322581,-0.010421
80.00000,-26054.101221,-12592.295801,-10491.219981,-4.673713,-7.633708,-0.175866
81.00000,-26321.703268,-13059.039465,-10506.402367,-4.242640,-7.920328,-0.328225
82.00000,-26562.747149,-13542.208178,-10530.313744,-3.788757,-8.180989,-0.466709
83.00000,-26775.926643,-14040.203906,-10562.099674,-3.314159,-8.414360,-0.590597
84.00000,-26960.064213,-14551.352642,-10600.864700,-2.821039,-8.619245,-0.699237
85.00000,-27114.116560,-15073.913002,-10645.676104,-2.311681,-8.794582,-0.792055
86.00000,-27237.179858,-15606.083689,-10695.569332,-1.788445,-8.939450,-0.868550
87.00000,-27328.494047,-16146.012517,-10749.552286,-1.253760,-9.053076,-0.928302
88.00000,-27387.446299,-16691.805940,-10806.609497,-0.710110,-9.134835,-0.970973
89.00000,-27413.574371,-17241.536784,-10865.708408,-0.160021,-9.184258,-0.996308
90.00000,-27406.568434,-17793.254902,-10925.802962,0.393948,-9.201027,-1.004133
91.00000,-27366.272925,-18344.995270,-10985.840005,0.949221,-9.184983,-0.994364
92.00000,-27292.686966,-18894.788641,-11044.763062,1.503214,-9.136124,-0.966999
93.00000,-27185.964763,-19440.669692,-11101.518879,2.053349,-9.054605,-0.922122
94.00000,-27046.414464,-19980.687799,-11155.061062,2.597069,-8.940740,-0.859903
95.00000,-26874.497097,-20512.915037,-11204.356694,3.131844,-8.794994,-0.780596
96.00000,-26670.823937,-21035.456799,-11248.389762,3.655189,-8.617988,-0.684537
97.00000,-26436.154035,-21546.459478,-11286.167736,4.164674,-8.410492,-0.572145
98.00000,-26171.390056,-22044.120819,-11316.724705,4.657935,-8.173422,-0.443916
99.00000,-25877.574512,-22526.697051,-11339.127797,5.132685,-7.907836,-0.300426
100.00000,-25555.884184,-22992.512760,-11352.479961,5.586728,-7.614931,-0.142323
101.00000,-25207.625025,-23439.967434,-11355.926109,6.017967,-7.296030,0.029673
